order_id,customer_id,product_name,amount,order_date,email,signup_date,country,days_since_signup,is_premium,etl_timestamp
ORD-93810,8,Laptop Pro 15,744.12,2024-05-05,user8@mail.com,2022-08-20,Italy,624,True,2026-03-26 10:12:03.207587
ORD-23396,6,Hub USB-C,105.74,2024-06-25,user6@mail.com,2022-06-01,Germany,755,True,2026-03-26 10:12:03.207587
ORD-76542,7,Imprimante laser,629.04,2024-11-23,user7@mail.com,2022-07-12,Spain,865,True,2026-03-26 10:12:03.207587
ORD-74042,2,Souris sans fil,929.8,2024-06-06,user2@mail.com,2022-02-15,France,842,True,2026-03-26 10:12:03.207587
ORD-84364,6,Souris sans fil,734.58,2024-02-05,user6@mail.com,2022-06-01,Germany,614,True,2026-03-26 10:12:03.207587
ORD-26483,9,Chargeur rapide,480.52,2024-10-08,user9@mail.com,2022-09-15,UK,754,True,2026-03-26 10:12:03.207587
ORD-92719,4,"Écran 27""",76.72,2024-01-17,user4@mail.com,2022-04-10,Canada,647,True,2026-03-26 10:12:03.207587
ORD-22833,4,Chargeur rapide,999.28,2024-01-08,user4@mail.com,2022-04-10,Canada,638,True,2026-03-26 10:12:03.207587
ORD-51104,4,Laptop Pro 15,588.33,2024-09-14,user4@mail.com,2022-04-10,Canada,888,True,2026-03-26 10:12:03.207587
ORD-91183,6,Hub USB-C,660.79,2024-10-16,user6@mail.com,2022-06-01,Germany,868,True,2026-03-26 10:12:03.207587
ORD-83792,7,Souris sans fil,542.25,2024-09-16,user7@mail.com,2022-07-12,Spain,797,True,2026-03-26 10:12:03.207587
ORD-11267,8,Souris sans fil,945.59,2024-12-19,user8@mail.com,2022-08-20,Italy,852,True,2026-03-26 10:12:03.207587
ORD-13617,8,Scanner portable,970.69,2024-04-01,user8@mail.com,2022-08-20,Italy,590,True,2026-03-26 10:12:03.207587
ORD-15014,7,RAM 16Go,440.21,2024-06-09,user7@mail.com,2022-07-12,Spain,698,True,2026-03-26 10:12:03.207587
ORD-81819,1,Casque Bluetooth,294.03,2024-08-08,user1@mail.com,2022-01-10,France,941,True,2026-03-26 10:12:03.207587
ORD-33819,4,Casque Bluetooth,385.3,2024-04-18,user4@mail.com,2022-04-10,Canada,739,True,2026-03-26 10:12:03.207587
ORD-84177,3,Webcam HD,537.41,2024-12-04,user3@mail.com,2022-03-20,USA,990,True,2026-03-26 10:12:03.207587
ORD-54725,1,Imprimante laser,425.85,2024-09-07,user1@mail.com,2022-01-10,France,971,True,2026-03-26 10:12:03.207587
ORD-12260,6,Casque Bluetooth,229.37,2024-12-20,user6@mail.com,2022-06-01,Germany,933,True,2026-03-26 10:12:03.207587
ORD-51359,8,Support PC portable,540.5,2024-12-19,user8@mail.com,2022-08-20,Italy,852,True,2026-03-26 10:12:03.207587
ORD-45954,3,Laptop Pro 15,557.82,2024-12-23,user3@mail.com,2022-03-20,USA,1009,True,2026-03-26 10:12:03.207587
ORD-74340,7,Imprimante laser,22.13,2024-05-25,user7@mail.com,2022-07-12,Spain,683,True,2026-03-26 10:12:03.207587
ORD-34164,4,Casque Bluetooth,941.64,2024-09-01,user4@mail.com,2022-04-10,Canada,875,True,2026-03-26 10:12:03.207587
ORD-74454,5,RAM 16Go,633.14,2024-01-28,user5@mail.com,2022-05-05,France,633,True,2026-03-26 10:12:03.207587
ORD-49824,6,"Écran 27""",127.26,2024-08-01,user6@mail.com,2022-06-01,Germany,792,True,2026-03-26 10:12:03.207587
ORD-94886,10,Scanner portable,272.97,2024-03-13,user10@mail.com,2022-10-01,France,529,True,2026-03-26 10:12:03.207587
ORD-82255,10,Hub USB-C,198.69,2024-11-02,user10@mail.com,2022-10-01,France,763,True,2026-03-26 10:12:03.207587
ORD-45018,1,Casque Bluetooth,728.78,2024-10-27,user1@mail.com,2022-01-10,France,1021,True,2026-03-26 10:12:03.207587
ORD-63841,3,Webcam HD,747.25,2024-12-27,user3@mail.com,2022-03-20,USA,1013,True,2026-03-26 10:12:03.207587
ORD-53515,7,Imprimante laser,846.58,2024-02-21,user7@mail.com,2022-07-12,Spain,589,True,2026-03-26 10:12:03.207587
ORD-80912,3,RAM 16Go,77.73,2024-11-19,user3@mail.com,2022-03-20,USA,975,True,2026-03-26 10:12:03.207587
ORD-86435,10,"Écran 27""",466.53,2024-05-10,user10@mail.com,2022-10-01,France,587,True,2026-03-26 10:12:03.207587
